,fraud_flag,start_balance,trx_amt,hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,is_unusual_hour,night_weekend_combo,start_balance_log,txn_total_amount_3d,txn_avg_amount_3d,txn_max_amount_3d,txn_min_amount_3d,txn_is_high_activity_3d,txn_multi_channel_recent,txn_amount_deviation_from_avg,channel_new_jc_app,channel_ussd,channel_ussd_api,channel_payment_gateway,channel_mobile_app,type_transfer_c2c,type_transfer_c2b,type_bill_payment,type_mobile_load,user_total_amount_3d,user_avg_amount_3d,user_median_amount_3d,user_max_amount_3d,user_min_amount_3d,user_total_amount_7d,user_avg_amount_7d,user_median_amount_7d,user_max_amount_7d,user_min_amount_7d,user_channel_diversity_score_7d,user_type_diversity_score_7d,user_avg_start_balance_7d,user_avg_end_balance_7d,user_min_balance_7d,user_max_balance_7d,user_balance_volatility_7d,user_avg_amount_per_recipient_7d,user_max_amount_to_single_recipient_7d,user_recipient_concentration_ratio_7d,user_avg_time_between_txns_7d,user_txn_frequency_score_7d
txn_total_amount_3d,-0.003478110439865394,-0.03601384042115789,0.141441939583151,-0.011343102539630792,0.002290290349581931,-0.0027525014104138063,0.008968187928149558,-0.002213518765194314,0.0157762985178256,0.006271574548692796,0.06586390137379186,1.0,0.45346213162211657,0.6498945540081619,0.1158876295402634,0.3396012550708292,0.22641642546310886,-0.008033174985958865,0.038830768928897905,-0.054224062509190284,-0.059750295480712326,0.06703702148123061,-0.03411083534706034,-0.009207991596324898,-0.0015110000075980441,,-0.051395907479274416,0.028808806446573708,-0.011135746309854403,-0.018935868539885915,0.01956594567215273,-0.0224895065072974,0.03145979025570251,-0.0183241817798257,-0.024716664959722755,0.02066450510188621,-0.02547008530189788,0.1903691141765205,0.24134928429305227,-0.0183241817798257,-0.01833319294539948,-0.02547266281359727,0.020667056338440834,0.016917599848347904,-0.01748117153184806,0.02066320904067379,-0.10062553277626658,-0.14649178254265446,0.29498649923630527
txn_avg_amount_3d,-0.0026802190761850355,-0.038196963778966746,0.24507738157239245,0.011602679440762053,0.004680792059015862,-0.0024078549187055115,-0.01264482744090044,0.009677451529464282,-0.009388003874703156,-0.004237123077774985,0.06694233046937909,0.45346213162211657,1.0,0.8052422207482187,0.7560433794100069,-0.02994324177168895,0.026512556588947415,-0.010923086151930023,0.1244111541198728,-0.047396638228766705,-0.017525178409075654,-0.07936656063808634,-0.02824700683019392,0.06777579619102503,0.022359210735596505,,-0.04343073964172199,0.01139004317594047,0.00675998220442623,0.0021079873729952766,0.014532348231086253,-0.005695914506942779,0.009244778703098838,-0.0029226748584186306,-0.00860947557455011,0.00876068006099981,-0.015179929206250055,0.043295637134769915,0.1617451762497269,-0.0029226748584186306,-0.002936585446150225,-0.015193602634584897,0.008765770361374286,0.017361202769577467,-0.003140714717988108,0.008759954983991944,-0.0640677790297025,-0.006954104363844989,-0.03740956332798567
txn_max_amount_3d,-0.004592696235988287,-0.04785666025339511,0.2085990688210122,0.004710789523193498,0.006057644075661443,-0.0026091361765989197,-0.007349258640072252,0.004503901709789217,-0.0027817008612407907,-0.00016157732109319775,0.07028304134411384,0.6498945540081619,0.8052422207482187,1.0,0.36621910763988713,0.18984502985081414,0.224358319001741,-0.012280637899593614,0.1109355458051738,-0.06225104998998555,-0.05766482776979541,-0.01861454854552892,-0.027793103419785064,0.04634526321036694,0.011518507580704447,,-0.04285181390534155,0.02741252669508348,-0.003249785721296858,-0.013388223030119856,0.025368993307503477,-0.023603272636974412,0.02750715433402361,-0.014062228083780711,-0.024790051490979022,0.021575984481759045,-0.030497840466647705,0.18942106666945158,0.29070771143868407,-0.014062228083780711,-0.014073780099304324,-0.030504907887595578,0.021580999221028383,0.02871898634260161,-0.01246251293572328,0.021575047517918215,-0.14160393300052132,-0.12421112669514296,0.0929517942286831
txn_min_amount_3d,0.0003165735846319209,-0.01989626019417838,0.15977560458043993,0.010810262646980227,0.0034121106989034255,0.0005682144025725024,-0.01099394457891667,0.009906453635169772,-0.010327122437816421,-0.006032951913336274,0.03948814624302716,0.1158876295402634,0.7560433794100069,0.36621910763988713,1.0,-0.09264422148814178,-0.12696759456437123,-0.006535875959723267,0.06995738004639135,-0.013177567985479819,0.020689586697638505,-0.07409448737992158,-0.020080163356321276,0.04473109527775775,0.017973946040020953,,-0.023804616098054954,-0.00944858005843025,0.006181969111944873,0.009481011861975945,-0.005702669562799408,0.013583362856642444,-0.011118208775197135,0.0006265867774047725,0.004085619025449828,-0.010585517548944172,0.004281507082180257,-0.07251753042383881,0.005265269372548554,0.0006265867774047725,0.0006174286735246285,0.00426543126996673,-0.010581896963871384,-0.0091655868209356,-0.0008481782683084222,-0.010585708766546683,0.017560726276786374,0.09058055474684211,-0.06331130094899481
txn_is_high_activity_3d,-0.0048854663712023265,-0.046134767824154876,-0.07716318794082164,-0.03751469694370963,0.010049862098110627,0.010964144643162933,0.041854972636277916,-0.022193858644709942,0.04525533220947978,0.023439284510277294,-0.007573741045613395,0.3396012550708292,-0.02994324177168895,0.18984502985081414,-0.09264422148814178,1.0,0.4366856161836186,-0.00882670591203563,-0.14113832765292386,-0.05202447181798559,-0.10263920214786203,0.3550345314964594,-0.040410473887993244,-0.12475100622543693,-0.06637839850327093,,-0.05440817226366278,0.026110312087609402,-0.03321130157275154,-0.036536935687498405,0.007304374765857083,-0.03173832858838129,0.03351780393596972,-0.040929935296244425,-0.0409516106167288,0.017528155588083502,-0.03379118778163796,0.3648918303023125,0.3408166592047629,-0.040929935296244425,-0.04093068040265294,-0.03378859217282506,0.01752844941277082,-0.0009369072886793673,-0.03949519084888365,0.017528394181204585,-0.15424406195395943,-0.2649331911228587,0.4618203404873536
txn_multi_channel_recent,-0.006734556175778904,-0.059888567145640496,-0.06783988274885064,-0.03679417512193589,0.0222166853356114,0.01834247442728224,0.04857394089981178,-0.03300777178737297,0.05024473293620668,0.031048770494212563,-0.013274983677165,0.22641642546310886,0.026512556588947415,0.224358319001741,-0.12696759456437123,0.4366856161836186,1.0,-0.013630567297179291,-0.12475979938997514,-0.047063571545865664,-0.08520013715013151,0.27881524170909083,0.012271987597360109,-0.09010087354559654,-0.06053856989681491,,-0.0171911148122692,0.07487981203253177,0.02015674977275801,-0.011284810908039674,0.10051147840208802,-0.05793049232741707,0.07680559939303885,0.0020613814510112237,-0.030680690739726506,0.09457072239108504,-0.06027577752502671,0.637113832271431,0.5004045698770574,0.0020613814510112237,0.002060415179059953,-0.06027302784106464,0.09457141535445157,0.11154303111580686,0.010488599119120165,0.09457072360750396,-0.283234899758564,-0.2709945943777541,0.23463628385494908
txn_amount_deviation_from_avg,-0.00010432959484860195,0.02212600777442215,0.03268511218233072,-0.0003614077070033404,0.00271469787966562,-0.001047291585220647,-0.001376714898685953,0.0027857234361706885,-0.0014296242990985933,-0.0030786724861940687,0.014578329894013291,-0.008033174985958865,-0.010923086151930023,-0.012280637899593614,-0.006535875959723267,-0.00882670591203563,-0.013630567297179291,1.0,0.004141656236846213,-0.00592310359029172,-0.0015046292663650422,-0.006639820128075581,-0.005239385756313755,0.003770091583375512,0.002905732166293544,,-0.008798921460176162,0.02654144711545406,0.10771713304166221,0.11254561871255062,0.057131846542725906,0.13573788770464362,0.017489341031844373,0.08897054298773716,0.09249872949900831,0.0435494391853664,0.10728977886355513,0.004950714103597545,0.0018320172304639012,0.08897054298773716,0.08897042897755948,0.10728982999266441,0.043549264167065636,0.0070352785040907855,0.08120312903661431,0.04354935304663389,0.0032446225517891785,0.003924044468905528,-0.0038271635252774302
channel_new_jc_app,-0.001487464277702498,-0.14108434550286103,0.15419660852245085,0.06902186689098162,-0.02108326440124689,-0.022901036586287813,-0.06900707575070149,0.0390934291633687,-0.07647964094854055,-0.04769747531579433,-0.13197113679965208,0.038830768928897905,0.1244111541198728,0.1109355458051738,0.06995738004639135,-0.14113832765292386,-0.12475979938997514,0.004141656236846213,1.0,-0.33222678654400806,-0.3164781178868182,-0.4769718625242094,-0.2604613835373323,0.3678444966955659,0.20324384319018804,,-0.22772251763014353,-0.029974834483539922,-0.04131163972130073,-0.03924661605297929,-0.03860607473319082,-0.04120989382963436,-0.03346275922770732,-0.0479641484945245,-0.04682292155064605,-0.04598638234640413,-0.045566314415632185,-0.2069906626517617,0.03905895837871316,-0.0479641484945245,-0.047964836841410556,-0.04556764053746973,-0.04598506023931124,-0.025470572354381278,-0.04482098246475323,-0.04598723989382914,0.02914603677662554,0.06567961282831451,-0.09364054011038153
channel_ussd,-0.0038519620813459447,-0.042010347968551236,-0.08857971301694335,-0.006417889822941415,0.005286554413766959,0.009044629837351168,-0.042897323843237946,0.008261180267841572,-0.04363889674077857,-0.02453187096109981,0.02955984032303929,-0.054224062509190284,-0.047396638228766705,-0.06225104998998555,-0.013177567985479819,-0.05202447181798559,-0.047063571545865664,-0.00592310359029172,-0.33222678654400806,1.0,-0.09425195108883669,-0.1420494059986181,-0.07756932373590106,-0.18919484639242082,-0.13627207695477428,,0.3136604506348241,-0.012273990581566212,-0.00935759637051321,-0.007383558975972321,-0.012771491013560333,-0.007513413889682286,-0.01397760908986089,-0.008835947516464151,-0.006367132136310534,-0.014261885184277711,-0.006695441497285098,-0.02188923586987263,-0.09615825710761365,-0.008835947516464151,-0.008834825904375157,-0.006695478371143981,-0.014262211400330824,-0.009942358021442006,-0.008434616070863616,-0.014262533467643173,-0.11166223425820714,0.058067278228701905,-0.035989924101603794
channel_ussd_api,-0.0007001564864027996,-0.04002904049314574,0.08259684918490103,0.019657180569050137,-6.833490248872602e-05,-0.003049330142923693,-0.07913449014362339,0.03471228644481012,-0.06690364114497296,-0.0414299024454769,-0.029298910173790188,-0.059750295480712326,-0.017525178409075654,-0.05766482776979541,0.020689586697638505,-0.10263920214786203,-0.08520013715013151,-0.0015046292663650422,-0.3164781178868182,-0.09425195108883669,1.0,-0.1353157857168379,-0.07389227652912114,0.1720611230253922,0.11058514899042685,,-0.11749964510612669,-0.008882142447639484,0.004314169125894372,0.007744519937825433,-0.005041416746222483,0.005721937107630806,-0.01134345998709975,0.007436207521534186,0.011452706125878212,-0.007049523359677681,0.006113665229016381,-0.09288483969360217,-0.15496670548971175,0.007436207521534186,0.007437011890717123,0.006112741337708257,-0.007049644600361174,-0.0037539121289240276,0.005683922267023193,-0.007049688531377322,0.16404272220231955,0.09384772172212495,-0.07447299970673778
channel_payment_gateway,0.007528708983842606,-0.06034407265655721,-0.14703486944041305,-0.059597725670843225,0.01617243517302855,0.02217376666907592,0.12291076262229335,-0.05226752171089876,0.11050433705777164,0.07370945383820003,-0.0635156554033369,0.06703702148123061,-0.07936656063808634,-0.01861454854552892,-0.07409448737992158,0.3550345314964594,0.27881524170909083,-0.006639820128075581,-0.4769718625242094,-0.1420494059986181,-0.1353157857168379,1.0,-0.11136484568848681,-0.2716235472837811,-0.16313254746885422,,-0.1770865706179585,0.012075320090559264,-0.011637656048805884,-0.019024070496096973,0.018958564478693502,-0.01613688791270876,0.017940750058014536,-0.016246381449847087,-0.023058544034440485,0.028972332076200116,-0.017885200738078536,0.3032850282505596,0.2052293035668095,-0.016246381449847087,-0.016247149091641024,-0.01788335559643135,0.028971445051225137,0.018552234933618433,-0.01724633686950658,0.028973807782171714,-0.04822585428901279,-0.19201081542634257,0.22104790297101265
channel_mobile_app,-0.0030198870581069895,-0.032949754337332555,-0.1042828907035691,-0.058615906019474424,0.006453703315023434,0.014524739711866193,0.025621238837907588,-0.01062481665355744,0.03255701247358015,0.013326983873003418,-0.048075792486872375,-0.03411083534706034,-0.02824700683019392,-0.027793103419785064,-0.020080163356321276,-0.040410473887993244,0.012271987597360109,-0.005239385756313755,-0.2604613835373323,-0.07756932373590106,-0.07389227652912114,-0.11136484568848681,1.0,-0.14832624413617299,-0.10624608118506813,,0.6282397534013143,-0.012358128804118408,-0.01530820736316564,-0.013587369954238527,-0.01434734875304805,-0.014109614771965023,-0.014913053207316264,-0.017889796923641958,-0.015646501250818068,-0.01771502205886757,-0.014333409187769333,0.07636670119445749,-0.014928546316604743,-0.017889796923641958,-0.01788928838414724,-0.014332859193071692,-0.01771522658141894,-0.012235236049725817,-0.013565356054848926,-0.017715479493490872,-0.2007779916659843,0.020280054803700435,-0.028303570476315744
